Questions,Responses
"How do I receive letters on my address ?
Can I receive the letters on my address?","To ensure that you receive your letters, we ask you to use the address suffix c / o. Here's an example:
Jack Martin
C/O NGB-Living -1
Kantstrasse XX
Berlin, 10625
Please note that it is not allowed to individually label your mailbox with your name. The individual labeling of mailboxes will be removed at your expense. We will ensure that mailboxes are properly labelled.  Any issue with the labelling should be brought to our notice."
"What should I do if I have locked myself out?
Locked myself out of the apartment?
I am stuck outside the apartment","First, try to contact your roommates to get into the apartment. If this is not successful, please inform this to us within the working hours of working days.
We will then check whether we have a replacement key for you. If so, you can pick it up from our office during office hours (9 a.m. -5 p.m.) and return it when you have received your own key. Unfortunately, we have to invoice you for the loss of a key in accordance with our fee catalog."
"How do I get a rent debit certificate?
How to I get confirmation of regular rent payment?","Kindly raise a ticket on ""Yourplace"" App for a rent debit certificate. We will check whether you have paid your rent on time and in full every month. If this is the case, we will provide you with a confirmation of regular rent payment  / rent debit certificate as soon as possible."
"Is it possible to offset or adjust the rental payment against the deposit?
Adjustment of rent payment against the deposit is possible?","To offset / adjust the rental payment against the deposit is not possible. The last monthly rent must be paid in full.
The deposit serves a security that the landlord can cover the costs arising from excessive heating bills  / damaged / missing items /dirty spaces from  the deposit amount. "
Where can I find my rental contract ?,"The  rental contract is uploaded in the the ""yourplace"" app. You can download it from the web version of the Yourplace App."
Where can I find the landlord's confirmation of residence ?,"The  Landlord's confirmation of Residence is uploaded in the the ""yourplace"" app. You can download it from the web version of the Yourplace App."
Where can I find the Bank Account details of NGB-Living for paying the rent ?,The Bank Account details of NGB- Living for paying the rent are mentioned on the YourPlace App.
Where can I find the terms and conditions of the rental contract ?,"The terms and conditions of the rental contract are attached to the contract itself. Once you download the entire document from the web version of the YourPlace App, you will be able to see the Terms and Conditions also."
"I would like to change my move-in date?
Any change in move-in date?","In case of change in your Move-in Date, please inform us in advance. Later, when you plan to move-in, you may collect your keys from our office during the working hours (Mon-Fri 9 a.m. - 5 p.m.).  In case, you move in after your rental agreement has started, the rental payment is still due from the start of the rental agreement and not from the move-in date."
"Is NGB-Living operating in other cities ?
NGB Living outside Berlin?","At the moment, NGB-Living is operating only in Berlin, Germany."
"How can I change my data in the NGB-Living Account?
Changing your details in the NGB-Living account?","Send us the details that you want to change and a copy of the relevant document that's a proof of the change of data, to us via mail or the YourPlace App. We will change it accordingly."
Can I add another person to my room?,"No, tenants cannot add persons to their room without the knowledge of NGB-Living. If that is found, it will incur a heavy penalty and may also lead to termination of contract."
"Can I have a guest in my room ?
Guest are allowed in the room/apartment?","You can have a guest in your room, but only by ensuring that terms and conditions mentioned in the rental contract are fulfilled."
"How do I dispose of my garbage?
What is the correct procedure for garbage disposal?
","For the correct disposal of household waste, there is a garbage bin for your apartment with garbage cans that are regularly emptied by the garbage disposal. Please make sure that you throw your waste in the designated garbage cans. Parking waste next to the garbage cans is prohibited and can incur costs that must be borne by the person who caused it. If you cannot find the rubbish bin with the rubbish bins, please ask your flatmates or neighbors. 
Important: Most of the waste in Germany has to be separated. There are usually special garbage cans for normal (household) waste, plastic waste (with the green dot), paper waste and organic waste.
In your neighborhood you will also find containers for the disposal of glass."
"What to do in the event of vermin infestation? (Bed bugs, mice, pests, rodents, rats, termites, ants, worms, other insects etc.)
What to do in case of pesticides inside the apartment/room?
I need pest control in my apartment/room?","If You notice that the apartment or your room is infested with vermin (Bed bugs, mice, pests, rodents, rats, termites, ants, worms, other insects etc). Kindly raise a ticket and let us know as soon as possible, since vermin must be controlled professionally by a exterminator / pest-control. Post the  photos and description of the pests to us to let us have a better clarity. Our team will then contact you shortly to fix the problem. Ensure that you are not creating any conditions favourable for the pests. ( Unclean / unwashed surfaces , especially decaying food)"
"Are repairs chargeable ? 
Will I have to pay for the repairs ?
Will you charge for the repairs ?
Will the repairs cost me anything ?
","Yes, repairs are chargeable, unless you have intimated of something damaged / not working / dirty at the time of entry to the apartment."
"There is a problem with the main door of the building?
There is some issue with the main door of the building?
Main door of the building is having some problem/issue?","In case of any problem with the main door, you should get in touch with the building administration.
You can find the contact details  of Building Administration on a board, in the passage after the entrance from the main door."
"What if my doorbell is not working ?
My doorbell is not working.
Door bell seems damaged or not working?","In case your doorbell is not working, raise a ticket on Yourplace app about the issue. We will fix it."
"What if my doorbell from the building entrance is not working ?
Building entrance door bell in not working? 
Something is wrong with my building entrance door bell ?
Building entrance door bell doesn't work?","In case of any problem with the doorbell from the building entrance, you should get in touch with the building administration.
You can find the contact details  of Building Administration on a board, in the passage after the entrance from the main door."
"Hey
Hello
How are you?","Hello, how can i help you?"
"Who are you?
Who am I speaking to?
What is your name?
Are you a chatbot?","Hey, I am a chatbot created solely for the purpose of helping customers of NGB Living."
